mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,sid,onset_sec,duration_sec,onset_tick,duration_tick,pitch_pna,velocity,track,channel,pid
0,-0.500000,0.500000,-0.500000,0.500000,0,64,63,3,nwqgcz5,0.317708,0.658333,305,632,63,36,0,1,n0
1,0.000000,2.000000,0.000000,2.000000,64,256,75,1,nbwxzb1,0.792708,1.796875,761,1725,75,59,0,1,n1
1,0.000000,1.000000,0.000000,1.000000,64,128,66,3,niis0bt,0.818750,1.166667,786,1120,66,39,0,1,n2
1,1.000000,0.500000,1.000000,0.500000,192,64,65,3,n1axox90,1.767708,0.445833,1697,428,65,50,0,1,n3
1,1.500000,0.500000,1.500000,0.500000,256,64,63,3,nz2irm6,2.152083,0.432292,2066,415,63,54,0,1,n4
2,2.000000,2.000000,2.000000,2.000000,320,256,82,1,n63xubs,2.559375,2.092708,2457,2009,82,66,0,1,n5
2,2.000000,0.500000,2.000000,0.500000,320,64,62,3,nskncbk,2.565625,0.485417,2463,466,62,52,0,1,n6
2,2.500000,0.500000,2.500000,0.500000,384,64,59,3,noxt7zz,2.976042,0.493750,2857,474,59,43,0,1,n7
2,3.000000,1.500000,3.000000,1.500000,448,192,58,3,n1ftb3dd,3.454167,1.583333,3316,1520,58,40,0,1,n8
3,4.000000,2.000000,4.000000,2.000000,576,256,70,1,n5hfy1h,4.513542,2.718750,4333,2610,70,50,0,1,n9
3,4.000000,2.000000,4.000000,2.000000,576,256,65,1,n1vnikpu,4.518750,1.272917,4338,1222,65,36,0,1,n10
3,4.000000,2.000000,4.000000,2.000000,576,256,62,1,n1hksdx3,4.521875,1.236458,4341,1187,62,36,0,1,n11
3,4.500000,0.500000,4.500000,0.500000,640,64,59,3,n12wrtim,4.933333,0.463542,4736,445,59,52,0,1,n12
3,5.000000,0.500000,5.000000,0.500000,704,64,58,3,n1ucgq9x,5.311458,0.410417,5099,394,58,52,0,1,n13
3,5.500000,0.500000,5.500000,0.500000,768,64,56,3,n1d3wph6,5.675000,0.435417,5448,418,56,56,0,1,n14
4,6.000000,2.000000,6.000000,2.000000,832,256,75,1,nzrha46,6.075000,2.291667,5832,2200,75,61,0,1,n15
4,6.000000,0.500000,6.000000,0.500000,832,64,54,3,n20qfko,6.088542,0.423958,5845,407,54,46,0,1,n16
4,6.000000,2.000000,6.000000,2.000000,832,256,63,1,njjz3m5,6.093750,2.272917,5850,2182,63,38,0,1,n17
4,6.500000,0.500000,6.500000,0.500000,896,64,53,3,ndw96g6,6.465625,0.393750,6207,378,53,46,0,1,n18
4,7.000000,0.500000,7.000000,0.500000,960,64,51,3,n1w2yvlc,6.795833,0.771875,6524,741,51,46,0,1,n19
4,7.500000,0.500000,7.500000,0.500000,1024,64,49,3,n1q8opyy,7.167708,0.414583,6881,398,49,48,0,1,n20
5,8.000000,1.000000,8.000000,1.000000,1088,128,47,3,n1gp8dny,7.583333,0.783333,7280,752,47,42,0,1,n21
5,8.000000,1.000000,8.000000,1.000000,1088,128,54,3,n1c77x0z,7.585417,1.484375,7282,1425,54,31,0,1,n22
5,8.500000,0.500000,8.500000,0.500000,1152,64,66,2,n1ua7khd,7.960417,0.408333,7642,392,66,47,0,1,n23
5,9.000000,1.000000,9.000000,1.000000,1216,128,74,1,n1ax8csr,8.318750,0.752083,7986,722,74,66,0,1,n24
5,9.000000,0.500000,9.000000,0.500000,1216,64,62,2,n1gnrdu7,8.332292,0.738542,7999,709,62,57,0,1,n25
5,9.000000,1.000000,9.000000,1.000000,1216,128,46,3,nwwcg6d,8.345834,0.723958,8012,695,46,45,0,1,n26
5,9.500000,0.500000,9.500000,0.500000,1280,64,66,2,n1uynip8,8.717709,0.381250,8369,366,66,51,0,1,n27
6,10.000000,1.500000,10.000000,1.500000,1344,192,75,1,n1vz4o6x,9.095834,1.689583,8732,1622,75,73,0,1,n28
6,10.000000,0.500000,10.000000,0.500000,1344,64,63,2,n1l21wtc,9.106250,1.191667,8742,1144,63,61,0,1,n29
6,10.000000,1.500000,10.000000,1.500000,1344,192,54,3,n1xbjkbv,9.116667,1.273958,8752,1223,54,44,0,1,n30
6,10.000000,3.500000,10.000000,3.500000,1344,448,47,4,n19gnecy,9.131250,1.186458,8766,1139,47,48,0,1,n31
6,10.500000,0.500000,10.500000,0.500000,1408,64,66,2,nwc30jq,9.522917,0.773958,9142,743,66,44,0,1,n32
6,11.000000,0.500000,11.000000,0.500000,1472,64,71,2,n1x5o87d,9.901042,0.396875,9505,381,71,58,0,1,n33
6,11.500000,0.500000,11.500000,0.500000,1536,64,69,2,najplea,10.302083,0.508333,9890,488,69,58,0,1,n34
6,11.500000,0.500000,11.500000,0.500000,1536,64,57,3,nxoodw5,10.316667,0.514583,9904,494,57,53,0,1,n35
7,12.000000,0.500000,12.000000,0.500000,1600,64,76,1,nt1lpnt,10.739583,0.489583,10310,470,76,68,0,1,n36
7,12.000000,0.500000,12.000000,0.500000,1600,64,56,3,n1uct3s1,10.777083,0.379167,10346,364,56,58,0,1,n37
7,12.000000,0.500000,12.000000,0.500000,1600,64,68,2,n1keu81w,10.779166,0.794792,10348,763,68,48,0,1,n38
7,12.500000,0.500000,12.500000,0.500000,1664,64,74,1,nm687d8,11.154166,0.490625,10708,471,74,62,0,1,n39
7,12.500000,0.500000,12.500000,0.500000,1664,64,53,3,n19fuh32,11.156250,0.401042,10710,385,53,51,0,1,n40
7,13.000000,0.500000,13.000000,0.500000,1728,64,75,1,n13giu59,11.567708,0.527083,11105,506,75,60,0,1,n41
7,13.000000,0.500000,13.000000,0.500000,1728,64,54,3,n1phrkel,11.582292,0.457292,11119,439,54,47,0,1,n42
7,13.000000,0.500000,13.000000,0.500000,1728,64,69,2,n1ck28h5,11.601042,1.109375,11137,1065,69,48,0,1,n43
7,13.500000,1.000000,13.500000,1.000000,1792,128,66,2,n1xu9t7k,12.055208,0.482292,11573,463,66,36,0,1,n44
7,13.500000,1.000000,13.500000,1.000000,1792,128,51,3,n10z6tup,12.056250,1.073958,11574,1031,51,40,0,1,n45
7,13.500000,0.500000,13.500000,0.500000,1792,64,47,4,n1do2vxt,12.064584,0.508333,11582,488,47,34,0,1,n46
8,14.000000,1.500000,14.000000,1.500000,1856,192,46,4,nzb0w7v,12.517709,3.143750,12017,3018,46,40,0,1,n47
8,14.000000,1.500000,14.000000,1.500000,1856,192,70,1,n1ba5m93,12.522917,1.828125,12022,1755,70,48,0,1,n48
8,14.500000,0.500000,14.500000,0.500000,1920,64,63,2,n1svwcfz,13.109375,0.763542,12585,733,63,29,0,1,n49
8,14.500000,0.500000,14.500000,0.500000,1920,64,66,2,n1gkxnqh,13.123959,0.793750,12599,762,66,33,0,1,n50
8,14.500000,0.500000,14.500000,0.500000,1920,64,54,3,n1h3uo6,13.127084,0.838542,12602,805,54,37,0,1,n51
8,15.000000,0.500000,15.000000,0.500000,1984,64,65,2,n1jlld6s,13.847917,0.351042,13294,337,65,33,0,1,n52
8,15.000000,0.500000,15.000000,0.500000,1984,64,62,2,n9iz6rl,13.858334,1.803125,13304,1731,62,38,0,1,n53
8,15.000000,0.500000,15.000000,0.500000,1984,64,58,3,nvmypsu,13.889584,8.505208,13334,8165,58,52,0,1,n54
9,16.000000,2.000000,16.000000,2.000000,2112,256,54,2,nhouoos,15.586458,1.890625,14963,1815,54,22,0,1,n55
9,16.000000,2.000000,16.000000,2.000000,2112,256,39,3,nycny6q,15.637500,1.975000,15012,1896,39,26,0,1,n56
9,16.500000,0.500000,16.500000,0.500000,2176,64,66,1,nkm8rgd,16.056250,0.581250,15414,558,66,54,0,1,n57
9,17.000000,0.500000,17.000000,0.500000,2240,64,65,1,n1c226x5,16.481251,0.483333,15822,464,65,58,0,1,n58
9,17.500000,0.500000,17.500000,0.500000,2304,64,63,1,nzteqca,16.907291,1.402083,16231,1346,63,54,0,1,n59
10,18.000000,2.000000,18.000000,2.000000,2368,256,53,2,n1oox58n,17.422916,1.255208,16726,1205,53,36,0,1,n60
10,18.000000,2.000000,18.000000,2.000000,2368,256,46,3,nqroevn,17.429167,3.688542,16732,3541,46,37,0,1,n61
10,19.000000,0.500000,19.000000,0.500000,2496,64,62,1,n1yihe3,18.287500,0.465625,17556,447,62,48,0,1,n62
10,19.500000,0.500000,19.500000,0.500000,2560,64,63,1,n1259fby,18.702084,0.418750,17954,402,63,59,0,1,n63
11,20.000000,0.500000,20.000000,0.500000,2624,64,65,1,ndwo28y,19.089582,0.452083,18326,434,65,56,0,1,n64
