mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,sid,onset_sec,duration_sec,onset_tick,duration_tick,pitch_pna,velocity,track,channel,pid
0,-0.500000,0.500000,-0.500000,0.500000,0,64,63,3,nwqgcz5,0.252083,0.793750,242,762,63,53,0,1,n0
1,0.000000,2.000000,0.000000,2.000000,64,256,75,1,nbwxzb1,0.806250,1.732292,774,1663,75,57,0,1,n1
1,0.000000,1.000000,0.000000,1.000000,64,128,66,3,niis0bt,0.815625,0.914583,783,878,66,50,0,1,n2
1,1.000000,0.500000,1.000000,0.500000,192,64,65,3,n1axox90,1.639583,0.471875,1574,453,65,47,0,1,n3
1,1.500000,0.500000,1.500000,0.500000,256,64,63,3,nz2irm6,2.036458,0.510417,1955,490,63,61,0,1,n4
2,2.000000,2.000000,2.000000,2.000000,320,256,82,1,n63xubs,2.420833,3.234375,2324,3105,82,75,0,1,n5
2,2.000000,0.500000,2.000000,0.500000,320,64,62,3,nskncbk,2.423958,0.477083,2327,458,62,51,0,1,n6
2,2.500000,0.500000,2.500000,0.500000,384,64,59,3,noxt7zz,2.829167,0.409375,2716,393,59,60,0,1,n7
2,3.000000,1.500000,3.000000,1.500000,448,192,58,3,n1ftb3dd,3.241667,2.413542,3112,2317,58,58,0,1,n8
3,4.000000,2.000000,4.000000,2.000000,576,256,70,1,n5hfy1h,4.142708,1.580208,3977,1517,70,62,0,1,n9
3,4.000000,2.000000,4.000000,2.000000,576,256,62,1,n1hksdx3,4.153125,1.502083,3987,1442,62,43,0,1,n10
3,4.000000,2.000000,4.000000,2.000000,576,256,65,1,n1vnikpu,4.184375,1.470833,4017,1412,65,38,0,1,n11
3,4.500000,0.500000,4.500000,0.500000,640,64,59,3,n12wrtim,4.531250,0.416667,4350,400,59,62,0,1,n12
3,5.500000,0.500000,5.500000,0.500000,768,64,56,3,n1d3wph6,5.289583,0.365625,5078,351,56,64,0,1,n13
4,6.000000,2.000000,6.000000,2.000000,832,256,75,1,nzrha46,5.646875,5.110417,5421,4906,75,69,0,1,n14
4,6.000000,0.500000,6.000000,0.500000,832,64,54,3,n20qfko,5.652083,0.822917,5426,790,54,53,0,1,n15
4,6.000000,2.000000,6.000000,2.000000,832,256,66,1,nx0xxp3,5.672917,0.413542,5446,397,66,43,0,1,n16
4,6.000000,2.000000,6.000000,2.000000,832,256,63,1,njjz3m5,5.678125,2.481250,5451,2382,63,44,0,1,n17
4,6.500000,0.500000,6.500000,0.500000,896,64,53,3,ndw96g6,6.031250,0.443750,5790,426,53,51,0,1,n18
4,7.000000,0.500000,7.000000,0.500000,960,64,51,3,n1w2yvlc,6.414583,0.864583,6158,830,51,47,0,1,n19
4,7.500000,0.500000,7.500000,0.500000,1024,64,49,3,n1q8opyy,6.790625,0.488542,6519,469,49,49,0,1,n20
5,8.000000,1.000000,8.000000,1.000000,1088,128,47,3,n1gp8dny,7.210417,4.665625,6922,4479,47,42,0,1,n21
5,8.000000,1.000000,8.000000,1.000000,1088,128,59,3,n140af6o,7.227083,0.886458,6938,851,59,42,0,1,n22
5,8.000000,1.000000,8.000000,1.000000,1088,128,54,3,n1c77x0z,7.236458,3.002083,6947,2882,54,33,0,1,n23
5,8.500000,0.500000,8.500000,0.500000,1152,64,66,2,n1ua7khd,7.621875,1.261458,7317,1211,66,48,0,1,n24
5,9.000000,1.000000,9.000000,1.000000,1216,128,74,1,n1ax8csr,7.981250,0.902083,7662,866,74,80,0,1,n25
5,9.000000,1.000000,9.000000,1.000000,1216,128,58,3,n1y9wlwc,8.001041,0.882292,7681,847,58,58,0,1,n26
5,9.000000,0.500000,9.000000,0.500000,1216,64,62,2,n1gnrdu7,8.001041,0.882292,7681,847,62,58,0,1,n27
5,9.000000,1.000000,9.000000,1.000000,1216,128,46,3,nwwcg6d,8.016666,0.866667,7696,832,46,38,0,1,n28
6,10.000000,1.500000,10.000000,1.500000,1344,192,59,3,nu59lmr,8.735416,1.503125,8386,1443,59,53,0,1,n29
6,10.000000,0.500000,10.000000,0.500000,1344,64,63,2,n1l21wtc,8.769792,1.961458,8419,1883,63,61,0,1,n30
6,10.500000,0.500000,10.500000,0.500000,1408,64,66,2,nwc30jq,9.129167,1.109375,8764,1065,66,71,0,1,n31
6,11.000000,0.500000,11.000000,0.500000,1472,64,71,2,n1x5o87d,9.530209,1.200000,9149,1152,71,81,0,1,n32
6,11.500000,0.500000,11.500000,0.500000,1536,64,57,3,nxoodw5,9.932292,1.155208,9535,1109,57,50,0,1,n33
6,11.500000,0.500000,11.500000,0.500000,1536,64,69,2,najplea,9.946875,1.140625,9549,1095,69,59,0,1,n34
7,12.000000,0.500000,12.000000,0.500000,1600,64,76,1,nt1lpnt,10.312500,0.448958,9900,431,76,72,0,1,n35
7,12.000000,0.500000,12.000000,0.500000,1600,64,56,3,n1uct3s1,10.320833,0.435417,9908,418,56,46,0,1,n36
7,12.000000,0.500000,12.000000,0.500000,1600,64,68,2,n1keu81w,10.327084,0.810417,9914,778,68,53,0,1,n37
7,12.500000,0.500000,12.500000,0.500000,1664,64,74,1,nm687d8,10.720834,0.389583,10292,374,74,71,0,1,n38
7,12.500000,0.500000,12.500000,0.500000,1664,64,53,3,n19fuh32,10.739583,0.347917,10310,334,53,38,0,1,n39
7,13.000000,0.500000,13.000000,0.500000,1728,64,75,1,n13giu59,11.089583,0.786458,10646,755,75,70,0,1,n40
7,13.000000,0.500000,13.000000,0.500000,1728,64,54,3,n1phrkel,11.115625,0.760417,10671,730,54,36,0,1,n41
7,13.000000,0.500000,13.000000,0.500000,1728,64,69,2,n1ck28h5,11.127084,0.748958,10682,719,69,62,0,1,n42
7,13.500000,1.000000,13.500000,1.000000,1792,128,51,3,n10z6tup,11.465625,0.758333,11007,728,51,40,0,1,n43
7,13.500000,1.000000,13.500000,1.000000,1792,128,66,2,n1xu9t7k,11.495833,0.367708,11036,353,66,41,0,1,n44
8,14.000000,1.500000,14.000000,1.500000,1856,192,70,1,n1ba5m93,11.876041,1.651042,11401,1585,70,56,0,1,n45
8,14.000000,1.500000,14.000000,1.500000,1856,192,46,4,nzb0w7v,11.882292,1.806250,11407,1734,46,38,0,1,n46
8,14.500000,0.500000,14.500000,0.500000,1920,64,66,2,n1gkxnqh,12.253125,0.434375,11763,417,66,41,0,1,n47
